path	baseline_line	disposition	destination	evidence
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Services/AnnouncementTargetingService.cs	57	rewrite		Read targeting methods and AnnouncementPublishedNotificationHandler: handler loops TargetUserIds and has no broadcast fallback. Preserved recipient-resolution TODO, corrected false broadcast claim.
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Services/AnnouncementTargetingService.cs	58	rewrite		Read targeting methods and AnnouncementPublishedNotificationHandler: handler loops TargetUserIds and has no broadcast fallback. Preserved recipient-resolution TODO, corrected false broadcast claim.
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Services/AnnouncementTargetingService.cs	59	rewrite		Read targeting methods and AnnouncementPublishedNotificationHandler: handler loops TargetUserIds and has no broadcast fallback. Preserved recipient-resolution TODO, corrected false broadcast claim.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Announcements/Entities/Announcement.cs	27	protected		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Announcements/Entities/Announcement.cs	28	keep		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Announcements/Entities/AnnouncementDismissal.cs	13	protected		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Announcements/Entities/AnnouncementDismissal.cs	14	keep		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Announcements/Enums/AnnouncementTarget.cs	7	rewrite		Read enum and MatchesTarget switch; retain numeric gap meaning, remove speculative billing promise.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Announcements/Enums/AnnouncementTarget.cs	8	rewrite		Read enum and MatchesTarget switch; retain numeric gap meaning, remove speculative billing promise.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Changelogs/Entities/ChangelogEntry.cs	19	protected		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Changelogs/Entities/ChangelogEntry.cs	20	keep		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Changelogs/Entities/ChangelogItem.cs	14	protected		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Changelogs/Entities/ChangelogItem.cs	15	keep		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Domain/Errors/AnnouncementsErrors.cs	5	keep		Read catalog and AddAnnouncementsModule registration; concise ownership reference retained.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Extensions/AnnouncementsModuleExtensions.cs	60	remove		Read registration method; removed labels that repeat registered interface names.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Extensions/AnnouncementsModuleExtensions.cs	65	remove		Read registration method; removed labels that repeat registered interface names.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Migrations/20260329204613_InitialCreate.Designer.cs	1	protected		EF-generated marker or inheritdoc; file unchanged.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Migrations/20260329204613_InitialCreate.Designer.cs	18	protected		EF-generated marker or inheritdoc; file unchanged.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Migrations/20260329204613_InitialCreate.cs	8	protected		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Migrations/20260329204613_InitialCreate.cs	11	protected		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Migrations/20260329204613_InitialCreate.cs	180	protected		Read complete owning source and comment blocks; EF materialization reasons and generated inheritdoc retained.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Migrations/AnnouncementsDbContextModelSnapshot.cs	1	protected		EF-generated marker or inheritdoc; file unchanged.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Modules/AnnouncementsModule.cs	14	rewrite		Read SchemaName, DbContext and infrastructure registration references; preserved shared constant and module isolation reason.
api/src/Modules/Announcements/Wallow.Announcements.Infrastructure/Persistence/AnnouncementsDbContextFactory.cs	6	rewrite		Read design-time factory and interface; one sentence suffices.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Api/Contracts/Requests/CreateApiKeyRequest.cs	3	remove		Read request fields; summary repeats type name.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Api/Contracts/Responses/ApiKeyResponse.cs	3	rewrite		Read response records and controller mapping; retain distinction between metadata and one-time secret.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Api/Contracts/Responses/ApiKeyResponse.cs	15	rewrite		Read response records and controller mapping; retain distinction between metadata and one-time secret.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Api/Controllers/ApiKeysController.cs	20	keep		Read all actions and RedisApiKeyService; preserved example JSON unchanged, one-time secret and user/tenant scope; removed unsupported in-flight cancellation guarantee.
api/src/Modules/ApiKeys/Wallow.ApiKeys.Api/Controllers/ApiKeysController.cs	30	rewrite		Read all actions and RedisApiKeyService; preserved example JSON unchanged, one-time secret and user/tenant scope; removed unsupported in-flight cancellation guarantee.
