path	baseline_sha256	final_sha256	disposition	unresolved	evidence
api/.editorconfig	c2bd112dcb9670cb3972c8739722d3f79d302574e76394f7a63495503d5c3e81	80f3d08bffec5184c615cc0b89592223d7cabb1c52183c64dd6880db4c76fdac	reviewed-and-rewritten		Read all sections, rule labels and adjacent settings. Checked installed analyzer descriptors and configuration; every non-comment setting and section unchanged.
api/CLAUDE.md	85a0e1e3d14a42eea24d50e015d430b6e2df2a29dda605f462dd4d2712d97f96	ff5ba83e5c5745856c5be32dd3d7b7fb78af894a40b198cbdd666eccd224ca1f	reviewed-and-rewritten		Standalone guide prose retained. Reviewed every parsed code fence and embedded comment against module layout, AppHost.Program, package.json and scripts/run-tests.sh; non-comment content unchanged.
api/Directory.Build.props	ab8737ae2a12a663f5fca8b90b206d8c04dd1ffe606722773d66db2c7a3a50a5	fb12c58183b481c11c85b8d21a665266803ee35ed50efa39ed45358fcddd362e	reviewed-and-rewritten		Parsed XML comments and read owning build/configuration entries; non-comment XML elements, attributes and values match baseline.
api/Directory.Build.targets	65e1cb7d50588dfa0a3f93f78765b28fc29158189741ae53309ee618979438dc	4b3291a40a6b60b389c20dd10492963e02133a2f3d95c84cc9381fc18e78dbe2	reviewed-and-rewritten		Parsed XML comments and read owning build/configuration entries; non-comment XML elements, attributes and values match baseline.
api/Directory.Packages.props	4466f0475fdf6602a2d8ed47d220fffc05a99ca0cd47b514257660cbaa25af06	8665538c45a74bc51fef165f7a3b5cbf2cdfba0f0f7a432be74e1f270031cd12	reviewed-and-rewritten		Parsed XML comments and read owning build/configuration entries; non-comment XML elements, attributes and values match baseline.
api/README.md	ad8d2132bda34328794ce8e1190eebd556db2fdf42e914de7ae05db21358faff	ad8d2132bda34328794ce8e1190eebd556db2fdf42e914de7ae05db21358faff	reviewed-and-already-useful		Standalone guide prose retained. Reviewed every parsed code fence and embedded comment against module layout, AppHost.Program, package.json and scripts/run-tests.sh; non-comment content unchanged.
api/Wallow.slnx	7030cacf0b2f412493978f14009ae40a6c69e7f92bd085045986fe1c511e510f	7030cacf0b2f412493978f14009ae40a6c69e7f92bd085045986fe1c511e510f	verified-no-comments		Parsed XML comments and read owning build/configuration entries; non-comment XML elements, attributes and values match baseline.
api/Wallow.slnx.DotSettings	873cc37ed025dbc2de9b8bfe7eda61da35cf2941a32ff42fdbacf89e9bb73321	873cc37ed025dbc2de9b8bfe7eda61da35cf2941a32ff42fdbacf89e9bb73321	verified-no-comments		Parsed XML comments and read owning build/configuration entries; non-comment XML elements, attributes and values match baseline.
api/global.json	6e0590c24e13f9792d37fa5ae42438f3e8775bc5a69d5926887c48aa8cab639a	6e0590c24e13f9792d37fa5ae42438f3e8775bc5a69d5926887c48aa8cab639a	verified-no-comments		Strict JSON parsing confirms no comments; configuration/data retained byte-for-byte.
api/seed.json	f01c0d55ae3d9a62c276b967e3c80371c9bcf8be29bb62fcf1f22e1facbe8789	f01c0d55ae3d9a62c276b967e3c80371c9bcf8be29bb62fcf1f22e1facbe8789	verified-no-comments		Strict JSON parsing confirms no comments; configuration/data retained byte-for-byte.
api/src/Modules/Announcements/CLAUDE.md	b5961810213d2b73dafda7364ac04c8aac25811dbfc4dd02c69e1a00392701ab	b5961810213d2b73dafda7364ac04c8aac25811dbfc4dd02c69e1a00392701ab	non-code		Standalone guide prose retained. Reviewed every parsed code fence and embedded comment against module layout, AppHost.Program, package.json and scripts/run-tests.sh; non-comment content unchanged.
api/src/Modules/Announcements/README.md	23aec46510a14d35ebbbdc2e2c29d8242dd75642548ff1d8ffb5eac09671dd1b	23aec46510a14d35ebbbdc2e2c29d8242dd75642548ff1d8ffb5eac09671dd1b	reviewed-and-already-useful		Standalone guide prose retained. Reviewed every parsed code fence and embedded comment against module layout, AppHost.Program, package.json and scripts/run-tests.sh; non-comment content unchanged.
api/src/Modules/Announcements/Wallow.Announcements.Api/Contracts/Responses/AnnouncementResponse.cs	800bb9c61e91ddb1265ff5206a684ec2ca98c37aa629b8ad4531090de942071c	800bb9c61e91ddb1265ff5206a684ec2ca98c37aa629b8ad4531090de942071c	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Api/Controllers/AdminAnnouncementsController.cs	f486c57eef9d43177ed477ac6dea885e88786aa482b63c611a795a5fc9e54536	f486c57eef9d43177ed477ac6dea885e88786aa482b63c611a795a5fc9e54536	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Api/Controllers/AdminChangelogController.cs	a2c602a2524c7c894c20be69108f11b1a4f54f2148fa1aad08ea14ae65f4972c	a2c602a2524c7c894c20be69108f11b1a4f54f2148fa1aad08ea14ae65f4972c	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Api/Controllers/AnnouncementsController.cs	18189a275da3cdbf8ddf06cd60b9c761ba4b899e6734285106db221ea4fc8560	18189a275da3cdbf8ddf06cd60b9c761ba4b899e6734285106db221ea4fc8560	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Api/Controllers/ChangelogController.cs	90775705190c30e8d6df452d2e60648c41f488971ea6959e084dbf0064708680	90775705190c30e8d6df452d2e60648c41f488971ea6959e084dbf0064708680	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Api/Wallow.Announcements.Api.csproj	3ba8302cd9fe87054d0d16415d07e69d42795c666178f1f633d6381a4fe38129	3ba8302cd9fe87054d0d16415d07e69d42795c666178f1f633d6381a4fe38129	verified-no-comments		Parsed XML comments and read owning build/configuration entries; non-comment XML elements, attributes and values match baseline.
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/ArchiveAnnouncement/ArchiveAnnouncementCommand.cs	f3b8bd9cc5e01aa77d1bf2702addcef7922cfd3bff45e6966aade58efcc91e87	f3b8bd9cc5e01aa77d1bf2702addcef7922cfd3bff45e6966aade58efcc91e87	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/ArchiveAnnouncement/ArchiveAnnouncementValidator.cs	131500a465c9cb34cfbee348c7163ab1c59830a826239af2d26eb470eb719bb6	131500a465c9cb34cfbee348c7163ab1c59830a826239af2d26eb470eb719bb6	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/CreateAnnouncement/CreateAnnouncementCommand.cs	5c623d86614992ea6ca8f1bcc303b6255aaa67248b2ba604602a2076f4c6c9a8	5c623d86614992ea6ca8f1bcc303b6255aaa67248b2ba604602a2076f4c6c9a8	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/CreateAnnouncement/CreateAnnouncementValidator.cs	60516af4b24a0b94023ea953e24c5e5d15d4e10667b8cebb2ea1f6386c1742f1	60516af4b24a0b94023ea953e24c5e5d15d4e10667b8cebb2ea1f6386c1742f1	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/DismissAnnouncement/DismissAnnouncementCommand.cs	b3bc1e0fab062fd457817f0b64c2a1073d878134c32c1f2e24c40c67d03a1974	b3bc1e0fab062fd457817f0b64c2a1073d878134c32c1f2e24c40c67d03a1974	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/DismissAnnouncement/DismissAnnouncementValidator.cs	3e2f649fdcdcc23d307552c1d2299b4629b6881da7f25e6a9b75299380ae072f	3e2f649fdcdcc23d307552c1d2299b4629b6881da7f25e6a9b75299380ae072f	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/PublishAnnouncement/PublishAnnouncementCommand.cs	269f21f0674758bb800e872952fc4110a60b2d8e7ea50c431300a4deea9e162a	269f21f0674758bb800e872952fc4110a60b2d8e7ea50c431300a4deea9e162a	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/PublishAnnouncement/PublishAnnouncementValidator.cs	002047280ef8599dd86a0749bfbcbc40c37899cf886da57937a9bf71e2ca173e	002047280ef8599dd86a0749bfbcbc40c37899cf886da57937a9bf71e2ca173e	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/UpdateAnnouncement/UpdateAnnouncementCommand.cs	1a4ff5ddf5828ad4e9f59d68e2f34eda8831705ed59ad05425f82b1848b13646	1a4ff5ddf5828ad4e9f59d68e2f34eda8831705ed59ad05425f82b1848b13646	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Commands/UpdateAnnouncement/UpdateAnnouncementValidator.cs	9bebce45dc580588c7a01c59c17cdc3ea4a2e4d50796a2baed395efd13d9fbe0	9bebce45dc580588c7a01c59c17cdc3ea4a2e4d50796a2baed395efd13d9fbe0	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/DTOs/AnnouncementDto.cs	4e4264ea072ee6e27283dfce64a5ba54b44074cf4221eb69d2995d38412d1996	4e4264ea072ee6e27283dfce64a5ba54b44074cf4221eb69d2995d38412d1996	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Interfaces/IAnnouncementDismissalRepository.cs	db7b4b893fe3937f1595b844861bd4cbbf6a1ae45be2e940aebe9277fb2df655	db7b4b893fe3937f1595b844861bd4cbbf6a1ae45be2e940aebe9277fb2df655	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Interfaces/IAnnouncementRepository.cs	83a2d5d6c115df800a3d16248dce794b02f4b15b192523dace18d35fcdaa77dc	83a2d5d6c115df800a3d16248dce794b02f4b15b192523dace18d35fcdaa77dc	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Mappings/AnnouncementMappings.cs	4bbfa964e9d82b97daf79c304747b617e3ac5e2b8ed31c25aef8c4e50f87ce9a	4bbfa964e9d82b97daf79c304747b617e3ac5e2b8ed31c25aef8c4e50f87ce9a	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Queries/GetActiveAnnouncements/GetActiveAnnouncementsQuery.cs	ee38c3d244d48884524751d505a9946740d6bef690669714e9b60f8e9dae1688	ee38c3d244d48884524751d505a9946740d6bef690669714e9b60f8e9dae1688	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Queries/GetAllAnnouncements/GetAllAnnouncementsQuery.cs	2f8c2fde91234aa1fc0c9a07719f258643af0cc61f932bdeabdf9d7483231677	2f8c2fde91234aa1fc0c9a07719f258643af0cc61f932bdeabdf9d7483231677	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Announcements/Services/AnnouncementTargetingService.cs	a2190e70aa05a1d2363ecf3a9c8804d90ceecef1af8aaddd16772b779ecb8635	bf260e24295679f56c51941207bd573d0707e32904fd9e0a91b11d36eb7e9199	reviewed-and-rewritten		Read targeting methods and AnnouncementPublishedNotificationHandler: handler loops TargetUserIds and has no broadcast fallback. Preserved recipient-resolution TODO, corrected false broadcast claim.
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/Commands/CreateChangelogEntry/CreateChangelogEntryCommand.cs	0b86090146077a1cd0f481e7fb74998568aab5331c84ea11fc11b87ff0f4f814	0b86090146077a1cd0f481e7fb74998568aab5331c84ea11fc11b87ff0f4f814	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/Commands/CreateChangelogEntry/CreateChangelogEntryValidator.cs	784b49eb5840503c1aa3c15d5e0784c99d2f228ef8b32b4ddae32701cea62766	784b49eb5840503c1aa3c15d5e0784c99d2f228ef8b32b4ddae32701cea62766	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/Commands/PublishChangelogEntry/PublishChangelogEntryCommand.cs	3c3c30ba449896e7ab6a1a3252d56aa5a487f37fb2540c1d8ac548facbbe65ef	3c3c30ba449896e7ab6a1a3252d56aa5a487f37fb2540c1d8ac548facbbe65ef	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/Commands/PublishChangelogEntry/PublishChangelogEntryValidator.cs	fed285a44960c6764ab5d3584b2a01bdd7058ef482dbe05eaf71d62a73415497	fed285a44960c6764ab5d3584b2a01bdd7058ef482dbe05eaf71d62a73415497	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/DTOs/ChangelogEntryDto.cs	2ffafd43712cd4d7e5815f3ad8798bc01974536de23229e08c6e3560e41aac4b	2ffafd43712cd4d7e5815f3ad8798bc01974536de23229e08c6e3560e41aac4b	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/Interfaces/IChangelogRepository.cs	fcc4686d98aef6f334590548e62092407c7516546a554cf36a1721208fbb7075	fcc4686d98aef6f334590548e62092407c7516546a554cf36a1721208fbb7075	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/Mappings/ChangelogMappings.cs	2a05044367d25b91b9487b1530dc651ae411cd244fba6e6812ff8861940db626	2a05044367d25b91b9487b1530dc651ae411cd244fba6e6812ff8861940db626	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/Queries/GetChangelog/GetChangelogQuery.cs	90f6b5444feb2a646505c550211b3369ce0e0e42a2d05a0b143d48fdd64310e3	90f6b5444feb2a646505c550211b3369ce0e0e42a2d05a0b143d48fdd64310e3	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Changelogs/Queries/GetChangelogEntry/GetChangelogEntryQuery.cs	aa71d645c924f95a41e12d3c9debef6d2d5f930800d85f5ab2081a60017ddbab	aa71d645c924f95a41e12d3c9debef6d2d5f930800d85f5ab2081a60017ddbab	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Extensions/ApplicationExtensions.cs	d977c14a57f0ac4c47ae84bc2be350f9e98da82adacdfcdc3d50e8ad7278fac6	d977c14a57f0ac4c47ae84bc2be350f9e98da82adacdfcdc3d50e8ad7278fac6	verified-no-comments		Roslyn C# trivia scan
api/src/Modules/Announcements/Wallow.Announcements.Application/Wallow.Announcements.Application.csproj	a28e5ccf4ccb4df91bc589e763f8f00305b9bc5fc30ccbd915fd295457da603c	a28e5ccf4ccb4df91bc589e763f8f00305b9bc5fc30ccbd915fd295457da603c	verified-no-comments		Parsed XML comments and read owning build/configuration entries; non-comment XML elements, attributes and values match baseline.
